mes,tienda_id,producto_id,producto,cantidad,precio_venta,total
2025-09,T01,P001,Refrigeradora LG 340L,13,2683.86,34890.18
2025-09,T01,P002,Refrigeradora Samsung 450L,4,3888.72,15554.88
2025-09,T01,P003,Refrigeradora Bosch 280L,14,3461.09,48455.26
2025-09,T01,P004,Lavadora LG 15kg,0,3441.98,0.0
2025-09,T01,P005,Lavadora Samsung 18kg,2,1893.74,3787.48
2025-09,T01,P006,Lavadora Whirlpool 14kg,0,2029.99,0.0
2025-09,T01,P007,Secadora Electrolux 10kg,14,4433.71,62071.94
2025-09,T01,P008,Cocina a gas Indurama 4H,18,4266.75,76801.5
2025-09,T01,P009,Cocina eléctrica Mabe 4H,17,3856.95,65568.15
2025-09,T01,P010,Campana extractora Bosch,2,4498.87,8997.74
2025-09,T01,P011,Horno empotrado Electrolux,19,2894.84,55001.96
2025-09,T01,P012,Lavaplatos Frigidaire,25,1451.86,36296.5
2025-09,T01,P013,Smart TV LG 55,6,2323.3,13939.8
2025-09,T01,P014,Smart TV Samsung 65,7,3039.59,21277.13
2025-09,T01,P015,Smart TV Sony 75,3,2164.0,6492.0
2025-09,T01,P016,Smart TV TCL 50,19,2709.58,51482.02
2025-09,T01,P017,TV OLED LG 65,1,4092.37,4092.37
2025-09,T01,P018,Soundbar Samsung 5.1,24,3523.12,84554.88
2025-09,T01,P019,Soundbar JBL 2.1,17,3105.5,52793.5
2025-09,T01,P020,Home theater Sony,8,1281.64,10253.12
2025-09,T01,P021,Parlante Bluetooth JBL,21,3545.85,74462.85
2025-09,T01,P022,Audífonos Sony WH-1000,24,2399.69,57592.56
2025-09,T01,P023,Barra Bose 900,20,2593.32,51866.4
2025-09,T01,P024,Receptor AV Yamaha,11,2515.95,27675.45
2025-09,T01,P025,Licuadora Oster 700W,19,560.29,10645.51
2025-09,T01,P026,Licuadora Philips 1000W,0,488.73,0.0
2025-09,T01,P027,Microondas LG 32L,40,175.49,7019.6
2025-09,T01,P028,Microondas Panasonic 25L,74,495.21,36645.54
2025-09,T01,P029,Hervidor eléctrico Bosch,73,695.12,50743.76
