id_producto,nombre,categoria,stock_actual,stock_minimo,precio_unitario,proveedor,almacen,fecha_ultima_reposicion,estado
P001,Smartphone X100,Electrónica,45,20,899.90,TechSupply SA,Almacén Central,2026-07-15,Activo
P002,Tablet Pro 12,Electrónica,12,15,1299.00,TechSupply SA,Almacén Central,2026-07-20,Bajo stock
P003,Laptop UltraSlim 15,Electrónica,8,10,2499.00,DigitalWorld Corp,Almacén Central,2026-08-01,Bajo stock
P004,Auriculares Bluetooth Pro,Electrónica,120,30,149.90,SoundMax Ltd,Almacén Norte,2026-08-05,Activo
P005,Monitor 27" 4K,Electrónica,3,10,1799.00,DigitalWorld Corp,Almacén Central,2026-06-10,Crítico
P006,Teclado Mecánico RGB,Electrónica,67,25,249.90,TechSupply SA,Almacén Norte,2026-07-28,Activo
P007,Café Orgánico 500g,Alimentos,200,50,24.90,Distribuidora Andina,Almacén Sur,2026-08-08,Activo
P008,Chocolate Artesanal 70%,Alimentos,85,30,18.50,Distribuidora Andina,Almacén Sur,2026-08-02,Activo
P009,Aceite de Oliva Extra Virgen 1L,Alimentos,40,25,45.90,Importadora del Sol,Almacén Sur,2026-07-25,Activo
P010,Galletas Integrales Avena,Alimentos,15,20,8.90,Distribuidora Andina,Almacén Sur,2026-07-30,Bajo stock
P011,Agua Mineral 500ml 6-pack,Bebidas,300,80,12.50,Embotelladora Nacional,Almacén Sur,2026-08-10,Activo
P012,Jugo Natural Naranja 1L,Bebidas,95,40,9.90,Embotelladora Nacional,Almacén Sur,2026-08-07,Activo
P013,Refresco Cola 2L,Bebidas,150,60,7.50,Embotelladora Nacional,Almacén Norte,2026-08-09,Activo
P014,Leche Deslactosada 1L,Bebidas,22,30,6.90,Lácteos del Valle,Almacén Sur,2026-08-06,Bajo stock
P015,Detergente Líquido 5L,Limpieza,110,35,29.90,CleanPro Perú,Almacén Norte,2026-08-03,Activo
P016,Jabón Antibacterial Barra x3,Limpieza,180,40,12.90,CleanPro Perú,Almacén Norte,2026-07-22,Activo
P017,Desinfectante Multiuso 2L,Limpieza,5,20,18.90,CleanPro Perú,Almacén Norte,2026-06-15,Crítico
P018,Papel Higiénico 12 rollos,Limpieza,250,50,15.90,Papelesa SA,Almacén Norte,2026-08-08,Activo
P019,Mochila Urbana 20L,Accesorios,33,15,179.90,ModaGlobal SAC,Almacén Central,2026-07-18,Activo
P020,Reloj Deportivo Digital,Accesorios,28,12,349.00,SportTime Inc,Almacén Central,2026-07-14,Activo
P021,Mouse Inalámbrico Ergonómico,Electrónica,95,25,89.90,TechSupply SA,Almacén Norte,2026-08-02,Activo
P022,Cargador USB-C 65W,Electrónica,150,40,69.90,TechSupply SA,Almacén Central,2026-08-04,Activo
P023,Parlante Portátil Bluetooth,Electrónica,42,20,199.00,SoundMax Ltd,Almacén Norte,2026-07-19,Activo
P024,Cámara Web HD 1080p,Electrónica,18,15,159.00,DigitalWorld Corp,Almacén Central,2026-07-12,Activo
P025,Smartwatch Deportivo,Electrónica,7,12,599.00,SportTime Inc,Almacén Central,2026-06-28,Bajo stock
P026,Disco Duro Externo 2TB,Electrónica,30,20,349.00,DigitalWorld Corp,Almacén Central,2026-07-22,Activo
P027,Memoria USB 128GB,Electrónica,200,50,59.90,TechSupply SA,Almacén Norte,2026-08-06,Activo
P028,Router WiFi 6,Electrónica,14,15,449.00,DigitalWorld Corp,Almacén Central,2026-07-08,Bajo stock
P029,Impresora Multifuncional,Electrónica,6,10,899.00,DigitalWorld Corp,Almacén Central,2026-06-20,Bajo stock
P030,Hub USB-C 7 puertos,Electrónica,55,20,129.00,TechSupply SA,Almacén Norte,2026-08-01,Activo
P031,Cable HDMI 2.1 3m,Electrónica,300,60,29.90,TechSupply SA,Almacén Norte,2026-08-09,Activo
P032,Silla Ergonómica Oficina,Electrónica,11,10,1299.00,DigitalWorld Corp,Almacén Central,2026-07-05,Activo
P033,Base Refrigerante Laptop,Electrónica,25,15,119.00,TechSupply SA,Almacén Norte,2026-07-16,Activo
P034,Proyector Portátil LED,Electrónica,4,8,1599.00,DigitalWorld Corp,Almacén Central,2026-05-30,Crítico
P035,Batería Externa 20000mAh,Electrónica,88,30,99.90,TechSupply SA,Almacén Norte,2026-08-03,Activo
P036,Arroz Extra 5kg,Alimentos,350,80,22.90,Distribuidora Andina,Almacén Sur,2026-08-09,Activo
P037,Azúcar Rubia 2kg,Alimentos,180,50,8.50,Distribuidora Andina,Almacén Sur,2026-08-07,Activo
