tienda_id,centro_distribucion,ciudad,producto_id,producto,categoria,stock_actual,ventas_promedio_mensual,stock_minimo,precio_costo,precio_venta
T01,CD-Lima,Lima,P001,Refrigeradora LG 340L,Línea Blanca,4,13.42,3,1932.38,2683.86
T01,CD-Lima,Lima,P002,Refrigeradora Samsung 450L,Línea Blanca,7,14.17,3,2799.88,3888.72
T01,CD-Lima,Lima,P003,Refrigeradora Bosch 280L,Línea Blanca,15,13.08,3,2491.98,3461.09
T01,CD-Lima,Lima,P004,Lavadora LG 15kg,Línea Blanca,25,13.83,3,2478.23,3441.98
T01,CD-Lima,Lima,P005,Lavadora Samsung 18kg,Línea Blanca,13,7.42,1,1363.49,1893.74
T01,CD-Lima,Lima,P006,Lavadora Whirlpool 14kg,Línea Blanca,3,14.25,3,1461.59,2029.99
T01,CD-Lima,Lima,P007,Secadora Electrolux 10kg,Línea Blanca,24,13.25,3,3192.27,4433.71
T01,CD-Lima,Lima,P008,Cocina a gas Indurama 4H,Línea Blanca,24,10.5,2,3072.06,4266.75
T01,CD-Lima,Lima,P009,Cocina eléctrica Mabe 4H,Línea Blanca,1,11.0,2,2777.0,3856.95
T01,CD-Lima,Lima,P010,Campana extractora Bosch,Línea Blanca,9,9.42,2,3239.19,4498.87
T01,CD-Lima,Lima,P011,Horno empotrado Electrolux,Línea Blanca,6,10.25,2,2084.28,2894.84
T01,CD-Lima,Lima,P012,Lavaplatos Frigidaire,Línea Blanca,9,9.67,2,1045.34,1451.86
T01,CD-Lima,Lima,P013,Smart TV LG 55,TV y Audio,5,10.42,2,1672.78,2323.3
T01,CD-Lima,Lima,P014,Smart TV Samsung 65,TV y Audio,11,11.08,2,2188.5,3039.59
T01,CD-Lima,Lima,P015,Smart TV Sony 75,TV y Audio,11,9.17,2,1558.08,2164.0
T01,CD-Lima,Lima,P016,Smart TV TCL 50,TV y Audio,2,10.75,2,1950.9,2709.58
T01,CD-Lima,Lima,P017,TV OLED LG 65,TV y Audio,10,8.42,2,2946.51,4092.37
T01,CD-Lima,Lima,P018,Soundbar Samsung 5.1,TV y Audio,6,12.75,3,2536.65,3523.12
T01,CD-Lima,Lima,P019,Soundbar JBL 2.1,TV y Audio,4,15.0,3,2235.96,3105.5
T01,CD-Lima,Lima,P020,Home theater Sony,TV y Audio,2,10.08,2,922.78,1281.64
T01,CD-Lima,Lima,P021,Parlante Bluetooth JBL,TV y Audio,36,17.5,4,2553.01,3545.85
T01,CD-Lima,Lima,P022,Audífonos Sony WH-1000,TV y Audio,15,14.5,3,1727.78,2399.69
T01,CD-Lima,Lima,P023,Barra Bose 900,TV y Audio,3,13.0,3,1867.19,2593.32
T01,CD-Lima,Lima,P024,Receptor AV Yamaha,TV y Audio,21,11.67,2,1811.48,2515.95
T01,CD-Lima,Lima,P025,Licuadora Oster 700W,Pequeños Electrodomésticos,65,49.5,10,403.41,560.29
T01,CD-Lima,Lima,P026,Licuadora Philips 1000W,Pequeños Electrodomésticos,39,35.75,7,351.89,488.73
T01,CD-Lima,Lima,P027,Microondas LG 32L,Pequeños Electrodomésticos,69,46.42,9,126.35,175.49
T01,CD-Lima,Lima,P028,Microondas Panasonic 25L,Pequeños Electrodomésticos,13,50.83,10,356.55,495.21
T01,CD-Lima,Lima,P029,Hervidor eléctrico Bosch,Pequeños Electrodomésticos,23,41.67,8,500.49,695.12
T01,CD-Lima,Lima,P030,Cafetera DeLonghi,Pequeños Electrodomésticos,99,46.92,9,411.94,572.14
T01,CD-Lima,Lima,P031,Freidora de aire Philips,Pequeños Electrodomésticos,41,40.25,8,347.51,482.65
T01,CD-Lima,Lima,P032,Aspiradora Dyson V11,Pequeños Electrodomésticos,51,44.58,9,598.85,831.74
T01,CD-Lima,Lima,P033,Plancha a vapor Rowenta,Pequeños Electrodomésticos,79,43.58,9,210.3,292.09
T01,CD-Lima,Lima,P034,Batidora KitchenAid,Pequeños Electrodomésticos,19,37.5,8,305.55,424.37
T01,CD-Lima,Lima,P035,Tostadora Oster,Pequeños Electrodomésticos,86,43.42,9,604.45,839.51
T01,CD-Lima,Lima,P036,Purificador de agua,Pequeños Electrodomésticos,36,40.17,8,340.52,472.94
T01,CD-Lima,Lima,P037,Laptop HP 15,Cómputo,3,14.08,3,2094.74,2909.36
T01,CD-Lima,Lima,P038,Laptop Lenovo ThinkPad,Cómputo,0,11.25,2,924.29,1283.74
T01,CD-Lima,Lima,P039,Laptop Asus VivoBook,Cómputo,36,15.17,3,1397.47,1940.93
T01,CD-Lima,Lima,P040,Laptop Dell Inspiron,Cómputo,11,11.5,2,1170.5,1625.7
T01,CD-Lima,Lima,P041,Monitor LG 27,Cómputo,14,12.0,2,980.16,1361.33
T01,CD-Lima,Lima,P042,Monitor Samsung 24,Cómputo,38,15.25,3,2538.28,3525.39
T01,CD-Lima,Lima,P043,Monitor BenQ 32,Cómputo,20,14.33,3,2971.09,4126.52
T01,CD-Lima,Lima,P044,Impresora Epson EcoTank,Cómputo,8,12.42,2,1107.72,1538.5
T01,CD-Lima,Lima,P045,Impresora HP LaserJet,Cómputo,2,12.67,3,2342.61,3253.62
T01,CD-Lima,Lima,P046,All-in-one Dell,Cómputo,0,11.17,2,1980.81,2751.13
T01,CD-Lima,Lima,P047,Mini PC Intel NUC,Cómputo,34,13.83,3,2009.5,2790.97
T01,CD-Lima,Lima,P048,Teclado mecánico Logitech,Cómputo,7,15.75,3,1407.93,1955.46
T01,CD-Lima,Lima,P049,Smartphone iPhone 15,Celulares y Tablets,27,15.58,3,3238.6,4498.05
T01,CD-Lima,Lima,P050,Smartphone Samsung S24,Celulares y Tablets,29,16.67,3,2417.29,3357.35
T01,CD-Lima,Lima,P051,Smartphone Xiaomi Redmi,Celulares y Tablets,9,10.92,2,1879.13,2609.9
T01,CD-Lima,Lima,P052,Tablet iPad 10,Celulares y Tablets,33,14.08,3,1919.08,2665.39
